,title,seasons,start_year,imdb_rating,viewer_maturity,genre,content_advisory,network,episodes,avg_episode_runtime
0,CHACHA VIDHAYAK HAIN HUMARE,1,2018,-1.0,Young Adults,"['COMEDY', 'DRAMA', 'INTERNATIONAL']","['moderate drug use', 'moderate foul language', 'sexual content', 'mild violence']",OML,8,25.25
0,THE MENTALIST,7,2009,8.1,Adults,['DRAMA'],"['moderate foul language', 'drug use', 'sexual content', 'strong violence']",WB,150,42.95333333333333
0,YEARLY DEPARTED,1,2020,5.6,Adults,"['ARTS, ENTERTAINMENT, AND CULTURE', 'TALK SHOW AND VARIETY', 'COMEDY']","['violence', 'sexual content', 'drug use', 'foul language', 'nudity']",AMAZON STUDIOS,1,44.0
0,MODERN LOVE,1,2019,8.0,Young Adults,"['ROMANCE', 'COMEDY', 'DRAMA']","['drug use', 'foul language', 'sexual content', 'violence']",AMAZON STUDIOS,9,33.111111111111114
0,AMERICAN GODS,3,2017,7.8,Adults,"['DRAMA', 'FANTASY']","['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",FREMANTLE,18,55.27777777777778
0,THE LAST SHIP,5,2014,7.5,Young Adults,"['DRAMA', 'SUSPENSE', 'ACTION']","['foul language', 'drug use', 'sexual content', 'violence']",WB,56,42.142857142857146
0,THE ORIGINALS,5,2014,8.2,Young Adults,"['HORROR', 'DRAMA', 'FANTASY']","['moderate foul language', 'moderate drug use', 'moderate sexuality', 'strong violence']",THE CW,92,42.09782608695652
0,LAAKHON MEIN EK,2,2017,-1.0,Young Adults,['INTERNATIONAL'],"['foul language', 'drug use', 'sexual content', 'violence']",OML,14,27.071428571428573
0,2 BROKE GIRLS TV SERIES 10/11,6,2012,6.7,Young Adults,['COMEDY'],"['strong foul language', 'moderate drug use', 'moderate sexuality', 'violence']",NA,138,21.594202898550726
0,AFSOS,1,2020,-1.0,Young Adults,"['COMEDY', 'DRAMA']","['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",OML,8,25.5
0,THE GRAND TOUR,4,2017,8.7,Young Adults,['UNSCRIPTED'],"['foul language', 'drug use', 'sexual content', 'violence']",AMAZON STUDIOS,40,64.175
0,MCMAFIA,1,2018,-1.0,Teens,['DRAMA'],"['moderate foul language', 'moderate drug use', 'strong sexuality', 'moderate nudity', 'moderate violence']",NA,8,56.625
0,LEGACIES,3,2019,-1.0,Young Adults,['DRAMA'],"['moderate foul language', 'moderate drug use', 'mild sexuality', 'strong violence']",WB,33,42.0
0,TREADSTONE,1,2019,7.0,Young Adults,['DRAMA'],"['mild foul language', 'moderate drug use', 'mild sexuality', 'strong violence']",NBCUNIVERSAL,10,43.2
0,JOEY,1,2005,-1.0,Young Adults,['COMEDY'],"['moderate foul language', 'moderate drug use', 'moderate sexuality', 'violence']",NA,24,22.041666666666668
0,BOSCH,6,2015,8.4,Adults,['DRAMA'],"['moderate drug use', 'strong foul language', 'moderate sexuality', 'nudity', 'moderate violence']",AMAZON STUDIOS,60,46.21666666666667
0,AMERICAN PLAYBOY: THE HUGH HEFNER STORY,1,2017,7.5,Adults,"['DRAMA', 'DOCUMENTARY']","['strong drug use', 'moderate foul language', 'strong sexuality', 'severe nudity', 'moderate violence']",AMAZON STUDIOS,11,40.72727272727273
0,SUITS,9,2011,8.5,Young Adults,['DRAMA'],"['strong foul language', 'moderate drug use', 'mild sexuality', 'mild violence']",NBCUNIVERSAL,135,43.318518518518516
0,MOM,8,2014,7.2,Young Adults,['COMEDY'],"['strong drug use', 'moderate foul language', 'moderate sexuality', 'mild violence']",WB,158,20.265822784810126
0,SUPERNATURAL,15,2006,8.4,Adults,"['HORROR', 'SUSPENSE', 'DRAMA']","['drug use', 'strong foul language', 'sexual content', 'moderate violence']",THE CW,328,41.89939024390244
0,COMICSTAAN SEMMA COMEDY PA,1,2020,6.7,Young Adults,['COMEDY'],"['foul language', 'drug use', 'sexual content', 'violence']",AMAZON STUDIOS,8,46.5
0,FLEABAG,2,2016,8.7,Adults,['COMEDY'],"['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",AMAZON_STUDIOS,12,25.333333333333332
0,SHARK TANK,2,2019,-1.0,Kids,['SPECIAL INTEREST'],"['moderate foul language', 'drug use', 'mild sexuality', 'mild violence']",ABC ,45,42.86666666666667
0,TWO AND A HALF MEN,12,2003,7.0,Young Adults,['COMEDY'],"['moderate foul language', 'moderate drug use', 'moderate sexuality', 'mild violence']",WB,262,21.50381679389313
0,MR. ROBOT,4,2015,8.6,Adults,"['SUSPENSE', 'DRAMA']","['strong drug use', 'strong foul language', 'strong sexuality', 'moderate nudity', 'moderate violence']",NBCUNIVERSAL,45,49.022222222222226
0,WORLD’S TOUGHEST RACE: ECO-CHALLENGE FIJI,1,2020,7.7,Teens,['UNSCRIPTED'],"['foul language', 'violence']",AMAZON STUDIOS,10,47.7
0,SHAMELESS,11,2011,8.6,Adults,"['COMEDY', 'DRAMA']","['drug use', 'foul language', 'sexual content', 'nudity', 'violence']",BONANZA PRODUCTIONS INC.,126,54.06349206349206
0,MALGUDI DAYS SWAMI & FRIENDS 1,4,1987,-1.0,Older Kids,"['INTERNATIONAL', 'DRAMA']","['foul language', 'drug use', 'mild nudity', 'violence']",ULTRA MEDIA & ENTERTAINMENT PVT. LTD.,54,22.40740740740741
0,SCORPION,4,2015,-1.0,Teens,[],"['foul language', 'drug use', 'sexual content', 'violence']",NA,94,41.659574468085104
0,HUNTERS,1,2020,7.2,Adults,"['ADVENTURE', 'DRAMA']","['drug use', 'foul language', 'nudity', 'violence']",AMAZON STUDIOS,10,64.5
0,UPLOAD,1,2020,8.0,Adults,['COMEDY'],"['drug use', 'foul language', 'sexual content', 'nudity', 'violence']",AMAZON STUDIOS,10,29.6
0,HANNA,2,2019,7.5,Young Adults,"['SUSPENSE', 'ACTION', 'DRAMA']","['foul language', 'drug use', 'sexual content', 'violence']",AMAZON STUDIOS,17,48.64705882352941
0,HOUSE,8,2005,-1.0,Adults,"['SUSPENSE', 'DRAMA']","['moderate foul language', 'moderate drug use', 'moderate sexuality', 'moderate violence']",NBCUNIVERSAL,178,43.99438202247191
0,THE PACK,1,2020,6.4,Teens,"['DOCUMENTARY', 'UNSCRIPTED']","['violence', 'drug use', 'foul language']",AMAZON STUDIOS,12,49.25
0,CALIFORNICATION,7,2007,8.3,Adults,['COMEDY'],"['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",VOOT,84,27.61904761904762
0,MASTERCHEF AUSTRALIA,10,2009,-1.0,Teens,"['SPECIAL INTEREST', 'UNSCRIPTED']","['drug use', 'foul language', 'sexual content']",FREMANTLEMEDIA AUSTRALIA,687,53.346433770014556
0,THE MARVELOUS MRS. MAISEL,3,2017,8.7,Young Adults,"['DRAMA', 'COMEDY']","['strong foul language', 'moderate drug use', 'moderate sexuality', 'nudity', 'violence']",AMAZON STUDIOS,27,54.0
0,LIFE IS A BEACH,3,2014,-1.0,Teens,[],['moderate drug use'],GOODTIMES,33,22.90909090909091
0,THE WIDOW,1,2019,6.9,Young Adults,"['DRAMA', 'SUSPENSE']","['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",AMAZON STUDIOS,8,46.0
0,CARNIVAL ROW,1,2019,7.9,Young Adults,"['SUSPENSE', 'DRAMA', 'FANTASY']","['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",AMAZON STUDIOS,8,56.0
0,PERSON OF INTEREST,5,2012,8.4,Young Adults,"['ACTION', 'DRAMA', 'SUSPENSE']","['moderate foul language', 'moderate drug use', 'mild sexuality', 'moderate violence']",NA,103,43.90291262135922
0,MIND THE MALHOTRAS,1,2019,-1.0,Young Adults,"['INTERNATIONAL', 'COMEDY']","['foul language', 'drug use', 'sexual content', 'violence']",APPLAUSE,9,25.11111111111111
0,ONE MIC STAND,1,2019,6.6,Young Adults,"['COMEDY', 'ARTS, ENTERTAINMENT, AND CULTURE', 'UNSCRIPTED']","['foul language', 'drug use', 'sexual content', 'violence']",AMAZON STUDIOS,5,30.4
0,BLINDSPOT,5,2016,7.4,Young Adults,['DRAMA'],"['moderate foul language', 'moderate drug use', 'moderate sexuality', 'mild nudity', 'moderate violence']",WB,100,42.87
0,THIS IS US,4,2017,8.7,Young Adults,['DRAMA'],"['moderate drug use', 'moderate foul language', 'moderate sexuality', 'nudity', 'mild violence']",NBC,72,43.0
0,MAN WITH A PLAN,4,2017,-1.0,Kids,['DRAMA'],"['drug use', 'moderate foul language', 'moderate sexuality', 'violence']",CBS,69,20.81159420289855
0,UTOPIA,1,2020,6.7,Young Adults,"['DRAMA', 'SUSPENSE']","['violence', 'sexual content', 'drug use', 'foul language']",AMAZON STUDIOS,8,50.0
0,SEINFELD,10,1990,8.8,Teens,['COMEDY'],"['moderate foul language', 'moderate drug use', 'mild sexuality']",NA,171,24.16374269005848
0,THE MAGICIANS,2,2016,-1.0,Young Adults,"['DRAMA', 'SUSPENSE', 'FANTASY', 'YOUNG ADULT AUDIENCE']","['strong foul language', 'moderate drug use', 'strong sexuality', 'mild nudity', 'strong violence']",NBCUNIVERSAL,26,43.65384615384615
0,DIABLO GUARDIAN,2,2018,6.1,Adults,['DRAMA'],"['drug use', 'foul language', 'sexual content', 'nudity', 'violence']",AMAZON STUDIOS,18,40.166666666666664
0,GOOD OMENS,1,2019,8.1,Young Adults,"['COMEDY', 'FANTASY', 'DRAMA']","['strong foul language', 'moderate drug use', 'moderate sexuality', 'nudity', 'moderate violence']",AMAZON STUDIOS,6,54.666666666666664
0,PARKS AND RECREATION,7,2009,-1.0,Young Adults,['COMEDY'],"['drug use', 'foul language', 'sexual content', 'violence']",NBCUNIVERSAL,125,21.856
0,THE AFFAIR,5,2014,-1.0,Adults,['DRAMA'],"['strong foul language', 'strong drug use', 'strong sexuality', 'strong nudity', 'moderate violence']",VOOT,53,57.867924528301884
0,THE WALKING DEAD: WORLD BEYOND,1,2020,4.2,Young Adults,"['HORROR', 'DRAMA']","['violence', 'sexual content', 'drug use', 'foul language']",AMC STUDIOS,10,47.7
0,CONSTANTINE,1,2015,7.5,Young Adults,"['SUSPENSE', 'ACTION', 'SCIENCE FICTION']","['severe drug use', 'moderate foul language', 'moderate sexuality', 'strong violence']",NA,13,42.92307692307692
0,WAKAALAT FROM HOME,1,2020,-1.0,Young Adults,['COMEDY'],"['foul language', 'drug use', 'sexual content', 'violence']",RS ENTERTAINMENT,10,13.9
0,NIKITA,4,2011,-1.0,Adults,"['ACTION', 'DRAMA']","['moderate drug use', 'moderate foul language', 'moderate sexuality', 'moderate violence']",NA,73,41.9041095890411
0,RUSSELL PETERS: DEPORTED,1,2020,6.3,Young Adults,"['ARTS, ENTERTAINMENT, AND CULTURE', 'COMEDY']","['drug use', 'moderate foul language']",AMAZON STUDIOS,2,48.5
0,ELEMENTARY,7,2013,7.9,Young Adults,"['SUSPENSE', 'DRAMA']","['moderate foul language', 'moderate drug use', 'moderate sexuality', 'moderate violence']",CBS,154,42.48051948051948
0,THE MAN IN THE HIGH CASTLE,4,2015,8.0,Adults,"['SUSPENSE', 'DRAMA']","['strong foul language', 'moderate drug use', 'sexual content', 'mild nudity', 'strong violence']",AMAZON STUDIOS,41,53.97560975609756
0,THE GREAT ESCAPISTS,1,2021,-1.0,Not rated,['UNSCRIPTED'],NA,NA,0,0.0
0,KASHMIR THE STORY,1,2018,-1.0,Young Adults,[],"['foul language', 'violence']",TIMES  PVT. LTD.,6,22.0
0,THE NIGHT MANAGER,1,2016,8.1,Adults,"['SUSPENSE', 'DRAMA']","['foul language', 'drug use', 'sexual content', 'nudity', 'violence']",BBC UK,6,57.666666666666664
0,PERSON OF INTEREST,5,2012,8.4,Young Adults,"['DRAMA', 'SUSPENSE', 'ACTION']","['moderate foul language', 'moderate drug use', 'mild sexuality', 'moderate violence']",NA,103,43.90291262135922
0,THE MARVELOUS MRS. MAISEL,3,2017,8.7,Young Adults,['DRAMA'],"['strong foul language', 'moderate drug use', 'moderate sexuality', 'nudity', 'violence']",AMAZON STUDIOS,27,54.0
0,MAN WITH A PLAN,4,2017,-1.0,Kids,['DRAMA'],"['drug use', 'moderate foul language', 'moderate sexuality', 'violence']",CBS,69,20.81159420289855
0,FEAR THE WALKING DEAD,6,2015,6.9,Adults,"['DRAMA', 'HORROR']","['foul language', 'drug use', 'sexual content', 'violence']",AMC,76,45.30263157894737
0,SUPERNATURAL,15,2006,8.4,Adults,"['HORROR', 'SUSPENSE', 'DRAMA']","['drug use', 'strong foul language', 'sexual content', 'moderate violence']",THE CW,328,41.89939024390244
0,TWO AND A HALF MEN,12,2003,7.0,Young Adults,['COMEDY'],"['moderate foul language', 'moderate drug use', 'moderate sexuality', 'mild violence']",WB,262,21.50381679389313
0,MOM,8,2014,7.2,Young Adults,['COMEDY'],"['strong drug use', 'moderate foul language', 'moderate sexuality', 'mild violence']",WB,158,20.265822784810126
0,THE EXPANSE,5,2019,8.5,Young Adults,['SCIENCE FICTION'],"['moderate foul language', 'moderate drug use', 'mild sexuality', 'nudity', 'moderate violence']",AMAZON STUDIOS,55,43.872727272727275
0,THE FRESH PRINCE OF BEL-AIR,6,1991,-1.0,Teens,['COMEDY'],"['mild foul language', 'moderate drug use', 'sexual content', 'mild violence']",NA,148,22.91216216216216
0,NCIS,18,2004,7.7,Young Adults,"['ACTION', 'DRAMA']","['foul language', 'drug use', 'sexual content', 'violence']",CBS,402,43.12686567164179
0,SEINFELD,10,1990,8.8,Teens,['COMEDY'],"['moderate foul language', 'moderate drug use', 'mild sexuality']",NA,171,24.16374269005848
0,WILD AND FREE: FLORIANÓPOLIS,1,2020,3.5,Adults,['INTERNATIONAL'],"['sexual content', 'drug use', 'foul language', 'nudity']",AMAZON STUDIOS,16,43.1875
0,SHIN CHAN SPIN-OFF VOL.1 ALIENS VS. SHINNOSUKE,1,2016,7.1,Older Kids,['ANIME'],"['moderate sexuality', 'mild violence']",NA,13,8.0
0,FRINGE,5,2009,8.4,Young Adults,"['SCIENCE FICTION', 'DRAMA']","['moderate foul language', 'moderate drug use', 'mild sexuality', 'moderate violence']",WB,100,45.27
0,HOUSE,8,2005,-1.0,Adults,"['SUSPENSE', 'DRAMA']","['moderate foul language', 'moderate drug use', 'moderate sexuality', 'moderate violence']",NBCUNIVERSAL,178,43.99438202247191
0,THE EXORCIST,2,2016,8.0,Adults,['DRAMA'],"['moderate foul language', 'mild drug use', 'mild sexuality', 'strong violence']",FOX,20,42.7
0,THE TICK,2,2018,7.4,Young Adults,"['COMEDY', 'ACTION']","['moderate foul language', 'drug use', 'sexual content', 'nudity', 'strong violence']",AMAZON STUDIOS,22,26.181818181818183
0,DEXTER,8,2006,8.6,Adults,['DRAMA'],"['strong foul language', 'moderate drug use', 'mild sexuality', 'nudity', 'severe violence']",NA,96,53.1875
0,MADAM SECRETARY,5,2015,7.6,Teens,['DRAMA'],"['drug use', 'foul language', 'sexual content', 'violence']",NA,110,43.20909090909091
0,MAD MEN,7,2007,8.6,Adults,['DRAMA'],"['drug use', 'foul language', 'sexual content', 'nudity', 'violence']","LIONSGATE ENTERTAINMENT, INC.",92,47.91304347826087
